P,1,Product1,100,5,1,5,1:2:3:4
P,2,Product2,100,0,1,5,1:2:3:4
I,1,Cog,3.75,14,4,40,12
O,2,Spring,2.3,7,5,20,C1
O,3,Screw,0.11,280,100,1000,CompanyLtd
O,4,part1,1.34,15,2,15,me
I,5,part2,1.23,11,1,11,1
O,6,p3,1.0,11,1,13,ebgef
I,7,p111,1.23,11,2,12,23
O,8,part10,1.51,5,2,19,none
I,10,part11,1.23,1,1,9,123
I,11,part12,1.89,3,1,8,124
O,12,Part100,2.34,10,4,10,NewCompany
O,13,Part200,10.4,10,10,12,MyCompany
I,14,M,1.0,2,1,10,100
I,15,N,1.0,2,1,10,100
I,16,P,1.0,2,1,10,100
I,17,Part1,100.0,15,5,30,5
I,18,M,2.0,50,45,99,45
I,19,M,2.0,50,45,99,45
I,20,M,2.0,50,45,99,45
I,21,M,1.0,2,1,10,100
I,22,N,1.0,2,1,10,100
I,23,P,1.0,2,1,10,100
I,24,Part1,100.0,15,5,30,5
I,25,M,2.0,50,45,99,45
I,26,M,2.0,50,45,99,45
I,27,M,2.0,50,45,99,45
I,28,M,1.0,2,1,10,100
I,29,N,1.0,2,1,10,100
I,30,P,1.0,2,1,10,100
I,31,Part1,100.0,15,5,30,5
I,32,M,2.0,50,45,99,45
I,33,M,2.0,50,45,99,45
I,34,M,2.0,50,45,99,45
I,35,M,1.0,2,1,10,100
I,36,N,1.0,2,1,10,100
I,37,P,1.0,2,1,10,100
I,38,Part1,100.0,15,5,30,5
I,39,M,2.0,50,45,99,45
I,40,M,2.0,50,45,99,45
I,41,M,2.0,50,45,99,45
I,42,M,1.0,2,1,10,100
I,43,N,1.0,2,1,10,100
I,44,P,1.0,2,1,10,100
I,45,Part1,100.0,15,5,30,5
I,46,M,2.0,50,45,99,45
I,47,M,2.0,50,45,99,45
I,48,M,2.0,50,45,99,45
